,,,,,,,
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.12,9.04,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.14,5.34,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.245,9.04,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.125,5.34,PASS,chavj11
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.905,5.34,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,6.54,9.04,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,2.59,5.34,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.465,5.34,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.025,9.04,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.855,8.34,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.83,9.04,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.17,5.34,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.11,9.04,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.765,5.34,PASS,gallarb
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.455,5.34,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.76,9.04,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.39,5.34,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.55,5.34,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.55,9.04,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,6.455,8.34,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.235,9.04,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.78,5.34,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.555,9.04,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.56,5.34,PASS,chavj11
26575879-027,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.45,5.34,PASS,chavj11
26575879-027,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,5.9,9.04,PASS,chavj11
26575879-027,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.155,5.34,PASS,chavj11
26575879-027,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.545,5.34,PASS,chavj11
26575879-027,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.67,9.04,PASS,chavj11
26575879-027,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.335,8.34,PASS,chavj11
26575879-027,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.345,9.04,PASS,chavj11
26575879-027,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.965,5.34,PASS,chavj11
26575879-027,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,6.555,9.04,PASS,chavj11
26575879-027,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,5.105,5.34,PASS,chavj11
26575879-028,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.45,5.34,PASS,chavj11
26575879-028,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,5.08,9.04,PASS,chavj11
26575879-028,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.375,5.34,PASS,chavj11
26575879-028,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,1.04,5.34,PASS,chavj11
26575879-028,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.4,9.04,PASS,chavj11
26575879-028,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.56,8.34,PASS,chavj11
26575879-028,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,9.02,9.04,PASS,chavj11
26575879-028,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.105,5.34,PASS,chavj11
26575879-028,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.145,9.04,PASS,chavj11
26575879-028,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.73,5.34,PASS,chavj11
26575879-029,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.56,5.34,PASS,chavj11
26575879-029,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.565,9.04,PASS,chavj11
26575879-029,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.13,5.34,PASS,chavj11
26575879-029,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.47,5.34,PASS,chavj11
26575879-029,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.02,9.04,PASS,chavj11
26575879-029,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,4.13,8.34,PASS,chavj11
26575879-029,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.355,9.04,PASS,chavj11
26575879-029,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,3.955,5.34,PASS,chavj11
26575879-029,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,6.285,9.04,PASS,chavj11
26575879-029,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,4.325,5.34,PASS,chavj11
26575879-030,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.12,5.34,PASS,chavj11
26575879-030,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,5.025,9.04,PASS,chavj11
26575879-030,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.54,5.34,PASS,chavj11
26575879-030,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.46,5.34,PASS,chavj11
26575879-030,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.165,9.04,PASS,chavj11
26575879-030,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,4.155,8.34,PASS,chavj11
26575879-030,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,5.41,9.04,PASS,chavj11
26575879-030,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.715,5.34,PASS,chavj11
26575879-030,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.09,9.04,PASS,chavj11
26575879-030,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.345,5.34,PASS,chavj11
26575879-031,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,2.815,5.34,PASS,avilaa1
26575879-031,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,3.785,9.04,PASS,avilaa1
26575879-031,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.66,5.34,PASS,avilaa1
26575879-031,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,1.335,5.34,PASS,avilaa1
26575879-031,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.31,9.04,PASS,avilaa1
26575879-031,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,2.755,8.34,PASS,avilaa1
26575879-031,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.93,9.04,PASS,avilaa1
26575879-031,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,3.46,5.34,PASS,avilaa1
26575879-031,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.785,9.04,PASS,avilaa1
26575879-031,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.215,5.34,PASS,avilaa1
26575879-032,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.405,5.34,PASS,gallarb
26575879-032,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,7.005,9.04,PASS,gallarb
26575879-032,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,3.32,5.34,PASS,gallarb
26575879-032,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.74,5.34,PASS,gallarb
26575879-032,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,7.91,9.04,PASS,gallarb
26575879-032,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,4.07,8.34,PASS,gallarb
26575879-032,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.775,9.04,PASS,gallarb
26575879-032,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,5.185,5.34,PASS,gallarb
26575879-032,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.965,9.04,PASS,gallarb
26575879-032,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.08,5.34,PASS,gallarb
26575879-033,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.01,5.34,PASS,avilaa1
26575879-033,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.685,9.04,PASS,avilaa1
26575879-033,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.665,5.34,PASS,avilaa1
26575879-033,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,1.255,5.34,PASS,avilaa1
26575879-033,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.885,9.04,PASS,avilaa1
26575879-033,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,8.1,8.34,PASS,avilaa1
26575879-033,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.575,9.04,PASS,avilaa1
26575879-033,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,3.885,5.34,PASS,avilaa1
26575879-033,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.825,9.04,PASS,avilaa1
26575879-033,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.635,5.34,PASS,avilaa1
26575879-034,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.56,5.34,PASS,chavj11
26575879-034,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,6.205,9.04,PASS,chavj11
26575879-034,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.055,5.34,PASS,chavj11
26575879-034,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.48,5.34,PASS,chavj11
26575879-034,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.885,9.04,PASS,chavj11
26575879-034,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,4.975,8.34,PASS,chavj11
26575879-034,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.81,9.04,PASS,chavj11
26575879-034,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,3.8,5.34,PASS,chavj11
26575879-034,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.14,9.04,PASS,chavj11
26575879-034,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.455,5.34,PASS,chavj11
26575879-035,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.375,5.34,PASS,gallarb
26575879-035,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,5.375,9.04,PASS,gallarb
26575879-035,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,2.575,5.34,PASS,gallarb
26575879-035,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.42,5.34,PASS,gallarb
26575879-035,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.64,9.04,PASS,gallarb
26575879-035,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,4.205,8.34,PASS,gallarb
26575879-035,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.235,9.04,PASS,gallarb
26575879-035,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,2.825,5.34,PASS,gallarb
26575879-035,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.325,9.04,PASS,gallarb
26575879-035,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.67,5.34,PASS,gallarb
26575879-036,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,2.91,5.34,PASS,chavj11
26575879-036,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,3.42,9.04,PASS,chavj11
26575879-036,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.11,5.34,PASS,chavj11
26575879-036,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.98,5.34,PASS,chavj11
26575879-036,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,4.225,9.04,PASS,chavj11
26575879-036,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.615,8.34,PASS,chavj11
26575879-036,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.4,9.04,PASS,chavj11
26575879-036,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,5.185,5.34,PASS,chavj11
26575879-036,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.19,9.04,PASS,chavj11
26575879-036,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.45,5.34,PASS,chavj11
26575879-037,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,2.545,5.34,PASS,chavj11
26575879-037,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,3.495,9.04,PASS,chavj11
26575879-037,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.115,5.34,PASS,chavj11
26575879-037,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.55,5.34,PASS,chavj11
26575879-037,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,4.64,9.04,PASS,chavj11
26575879-037,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,5.955,8.34,PASS,chavj11
26575879-037,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,5.67,9.04,PASS,chavj11
26575879-037,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,3.96,5.34,PASS,chavj11
26575879-037,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,6.23,9.04,PASS,chavj11
26575879-037,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.56,5.34,PASS,chavj11
26575879-038,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.34,5.34,PASS,gallarb
26575879-038,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,6.11,9.04,PASS,gallarb
26575879-038,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,4.605,5.34,PASS,gallarb
26575879-038,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.555,5.34,PASS,gallarb
26575879-038,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.565,9.04,PASS,gallarb
26575879-038,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,5.26,8.34,PASS,gallarb
26575879-038,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,5.535,9.04,PASS,gallarb
26575879-038,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.34,5.34,PASS,gallarb
26575879-038,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.99,9.04,PASS,gallarb
26575879-038,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.485,5.34,PASS,gallarb
26575879-039,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.565,5.34,PASS,avilaa1
26575879-039,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.72,9.04,PASS,avilaa1
26575879-039,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,2.265,5.34,PASS,avilaa1
26575879-039,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,1.93,5.34,PASS,avilaa1
26575879-039,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.655,9.04,PASS,avilaa1
26575879-039,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,4.17,8.34,PASS,avilaa1
26575879-039,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.69,9.04,PASS,avilaa1
26575879-039,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.735,5.34,PASS,avilaa1
26575879-039,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,6.73,9.04,PASS,avilaa1
26575879-039,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,4.135,5.34,PASS,avilaa1
26575879-040,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.085,5.34,PASS,gallarb
26575879-040,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,6.64,9.04,PASS,gallarb
26575879-040,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,3.22,5.34,PASS,gallarb
26575879-040,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.57,5.34,PASS,gallarb
26575879-040,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.835,9.04,PASS,gallarb
26575879-040,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,7.57,8.34,PASS,gallarb
26575879-040,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.16,9.04,PASS,gallarb
26575879-040,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,3.435,5.34,PASS,gallarb
26575879-040,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.44,9.04,PASS,gallarb
26575879-040,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.76,5.34,PASS,gallarb
26575879-041,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.335,5.34,PASS,chavj11
26575879-041,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,6.89,9.04,PASS,chavj11
26575879-041,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.065,5.34,PASS,chavj11
26575879-041,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,1.45,5.34,PASS,chavj11
26575879-041,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.87,9.04,PASS,chavj11
26575879-041,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,8.005,8.34,PASS,chavj11
26575879-041,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.89,9.04,PASS,chavj11
26575879-041,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,5.28,5.34,PASS,chavj11
26575879-041,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,7.14,9.04,PASS,chavj11
26575879-041,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,4.56,5.34,PASS,chavj11
26575879-042,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.135,5.34,PASS,gallarb
26575879-042,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,5.69,9.04,PASS,gallarb
26575879-042,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,4.2,5.34,PASS,gallarb
26575879-042,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.525,5.34,PASS,gallarb
26575879-042,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.76,9.04,PASS,gallarb
26575879-042,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,2.94,8.34,PASS,gallarb
26575879-042,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.63,9.04,PASS,gallarb
26575879-042,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,2.875,5.34,PASS,gallarb
26575879-042,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.035,9.04,PASS,gallarb
26575879-042,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.225,5.34,PASS,gallarb
26575879-043,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.09,5.34,PASS,gallarb
26575879-043,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,5.16,9.04,PASS,gallarb
26575879-043,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,2.765,5.34,PASS,gallarb
26575879-043,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.55,5.34,PASS,gallarb
26575879-043,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,7.98,9.04,PASS,gallarb
26575879-043,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,4.195,8.34,PASS,gallarb
26575879-043,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,5.865,9.04,PASS,gallarb
26575879-043,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.48,5.34,PASS,gallarb
26575879-043,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.475,9.04,PASS,gallarb
26575879-043,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.34,5.34,PASS,gallarb
26575879-044,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.465,5.34,PASS,chavj11
26575879-044,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,5.67,9.04,PASS,chavj11
26575879-044,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.225,5.34,PASS,chavj11
26575879-044,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.515,5.34,PASS,chavj11
26575879-044,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.48,9.04,PASS,chavj11
26575879-044,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,5.975,8.34,PASS,chavj11
26575879-044,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.885,9.04,PASS,chavj11
26575879-044,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.2,5.34,PASS,chavj11
26575879-044,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.77,9.04,PASS,chavj11
26575879-044,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,4.555,5.34,PASS,chavj11
26575879-045,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.34,5.34,PASS,chavj11
26575879-045,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.14,9.04,PASS,chavj11
26575879-045,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.02,5.34,PASS,chavj11
26575879-045,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.72,5.34,PASS,chavj11
26575879-045,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,4.61,9.04,PASS,chavj11
26575879-045,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,5.49,8.34,PASS,chavj11
26575879-045,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,6.755,9.04,PASS,chavj11
26575879-045,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,5.24,5.34,PASS,chavj11
26575879-045,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.99,9.04,PASS,chavj11
26575879-045,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,5.005,5.34,PASS,chavj11
26575879-046,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.51,5.34,PASS,chavj11
26575879-046,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,5.675,9.04,PASS,chavj11
26575879-046,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,0.93,5.34,PASS,chavj11
26575879-046,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.75,5.34,PASS,chavj11
